평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2021,LIBTYPE000003,P00004,한국폴리텍Ⅰ대학서울정수캠퍼스 도서관,서울,용산구,14084,0,57,602,6826610 
2021,LIBTYPE000003,P00006,한국폴리텍Ⅰ대학성남캠퍼스 도서관,경기,성남시,11670,0,16,206,5041290 
2021,LIBTYPE000003,P00025,한국폴리텍Ⅰ대학제주캠퍼스 도서관,제주,제주시,6974,0,40,204,3350000 
2021,LIBTYPE000003,228005,한국폴리텍Ⅱ대학남인천캠퍼스 도서관,인천,미추홀구,5163,0,24,139,4398300 
2021,LIBTYPE000003,P00007,한국폴리텍Ⅱ대학인천캠퍼스 도서관,인천,부평구,19048,0,158,631,12698280 
2021,LIBTYPE000003,241097,한국폴리텍Ⅱ대학화성캠퍼스 도서관,경기,화성시,0,0,0,0,0 
2021,LIBTYPE000003,P00009,한국폴리텍Ⅲ대학강릉캠퍼스 도서관,강원,강릉시,5685,0,39,292,11033350 
2021,LIBTYPE000003,242031,한국폴리텍Ⅲ대학원주캠퍼스 도서관,강원,원주시,2765,0,14,40,4449870 
2021,LIBTYPE000003,P00008,한국폴리텍Ⅲ대학춘천캠퍼스 도서관,강원,춘천시,11658,0,37,44,3800000 
2021,LIBTYPE000003,P00010,한국폴리텍Ⅳ대학대전캠퍼스 도서관,대전,동구,7714,0,31,81,0 
2021,LIBTYPE000003,P00011,한국폴리텍Ⅳ대학아산캠퍼스 도서관,충남,아산시,7943,0,0,0,2880000 
2021,LIBTYPE000003,P00012,한국폴리텍Ⅳ대학청주캠퍼스 도서관,충북,청주시,9137,0,38,126,3000000 
2021,LIBTYPE000003,P00013,한국폴리텍Ⅳ대학홍성캠퍼스 도서관,충남,홍성군,5034,0,5,15,0 
2021,LIBTYPE000003,P00014,한국폴리텍Ⅴ대학광주캠퍼스 도서관,광주,북구,14396,0,90,202,6000000 
2021,LIBTYPE000003,246027,한국폴리텍Ⅴ대학순천캠퍼스 도서관,전남,순천시,5549,0,15,32,6795640 
2021,LIBTYPE000003,P00015,한국폴리텍Ⅴ대학익산캠퍼스 도서관,전북,익산시,4446,0,12,30,0 
2021,LIBTYPE000003,P00016,한국폴리텍Ⅴ대학전남캠퍼스 도서관,전남,무안군,4291,0,83,151,0 
2021,LIBTYPE000003,P00017,한국폴리텍Ⅴ대학전북캠퍼스 도서관,전북,김제시,4809,0,30,30,0 
2021,LIBTYPE000003,P00019,한국폴리텍Ⅵ대학구미캠퍼스 도서관,경북,구미시,7391,0,78,78,4700000 
2021,LIBTYPE000003,P00018,한국폴리텍Ⅵ대학대구캠퍼스 도서관,대구,서구,13876,0,470,470,7656000 
2021,LIBTYPE000003,P00001,한국폴리텍Ⅵ대학영남융합기술캠퍼스 도서관,대구,동구,7957,0,21,46,1880370 
2021,LIBTYPE000003,P00024,한국폴리텍Ⅵ대학영주캠퍼스 도서관,경북,영주시,2897,0,5,22,0 
2021,LIBTYPE000003,P00021,한국폴리텍Ⅶ대학부산캠퍼스 도서관,부산,북구,13631,0,19,27,1764000 
2021,LIBTYPE000003,P00022,한국폴리텍Ⅶ대학울산캠퍼스 도서관,울산,중구,10329,0,43,143,2144880 
2021,LIBTYPE000003,P00020,한국폴리텍Ⅶ대학창원캠퍼스 도서관,경남,창원시,23069,0,211,1018,9519030 
2021,LIBTYPE000003,P00003,한국폴리텍특성화 바이오캠퍼스 도서관,충남,논산시,4108,0,27,27,5725590 
2021,LIBTYPE000003,P00002,한국폴리텍특성화 반도체융합캠퍼스 도서관,경기,안성시,9364,0,26,58,0 
2021,LIBTYPE000003,P00023,한국폴리텍특성화 항공캠퍼스 도서관,경남,사천시,5554,0,6,10,2371700 
2021,LIBTYPE000003,341054,한국학대학원 도서관,경기,성남시,487502,6,334,17564,291112289 
2021,LIBTYPE000003,241048,한국항공대학교 중앙도서관,경기,고양시,316991,4,927,6086,328848554 
2021,LIBTYPE000003,221028,한국해양대학교 도서관,부산,영도구,587302,10,1373,16080,763644936 
2021,LIBTYPE000003,225013,한남대학교 중앙도서관,대전,대덕구,986028,8,2937,40662,858376684 
2021,LIBTYPE000003,247041,한동대학교 국제법률대학원 도서관,경북,포항시,29358,1,124,589,66870320 
2021,LIBTYPE000003,247030,한동대학교 학술정보관,경북,포항시,260586,2,3756,33730,217524721 
2021,LIBTYPE000003,242017,한라대학교 학술정보원,강원,원주시,241237,1,232,2770,293852860 
2021,LIBTYPE000003,246019,한려대학교 도서관,전남,광양시,97629,1,27,66,0 
2021,LIBTYPE000003,211109,한림국제대학원대학교 문헌정보실,서울,강남구,4821,0,16,34,1174070 
2021,LIBTYPE000003,242014,한림대학교 일송기념도서관,강원,춘천시,848180,4,3619,48474,920723956 
2021,LIBTYPE000003,242013,한림성심대학교 한빛도서관,강원,춘천시,159847,1,512,14979,36360680 
2021,LIBTYPE000003,211102,한반도국제대학원대학교 도서관,서울,용산구,13073,0,49,244,492900 
2021,LIBTYPE000003,225001,한밭대학교 도서관,대전,유성구,642361,8,2726,26848,993208040 
2021,LIBTYPE000003,244015,한서대학교 도서관,충남,서산시,707540,2,415,9340,551630581 
2021,LIBTYPE000003,211061,한성대학교 학술정보관,서울,성북구,749479,5,2906,43832,784350702 
2021,LIBTYPE000003,241034,한세대학교 도서관,경기,군포시,357413,3,357,3784,279990810 
2021,LIBTYPE000003,211069,한신대학교 신학대학원 장공도서관,서울,강북구,128351,1,211,4318,31981142 
2021,LIBTYPE000003,241049,한신대학교 중앙도서관,경기,오산시,401947,3,980,19757,254083690 
2021,LIBTYPE000003,211062,한양대학교 백남학술정보관,서울,성동구,1749474,18,10900,167184,5309410332 
2021,LIBTYPE000003,241050,한양대학교(ERICA) ERICA학술정보관,경기,안산시,1004867,8,4130,62818,2232126249 
2021,LIBTYPE000003,211063,한양여자대학교 도서관,서울,성동구,273857,2,600,19608,224485580 
2021,LIBTYPE000003,246017,한영대학교 도서관,전남,여수시,48094,0,234,1178,49373010 
2021,LIBTYPE000003,245018,한일장신대학교 도서관,전북,완주군,215047,1,1024,8056,77000000 
2021,LIBTYPE000003,241051,합동신학대학원대학교 변화산 기념 도서관,경기,수원시,183553,3,527,18237,102104191 
2021,LIBTYPE000003,248023,해군사관학교 도서관,경남,진해시,263335,6,1107,341101,239234880 
2021,LIBTYPE000003,241052,협성대학교 도서관,경기,화성시,439631,2,403,5855,254481593 
2021,LIBTYPE000003,244017,혜전대학교 도서관,충남,홍성군,175252,1,403,4463,64854000 
2021,LIBTYPE000003,224014,호남대학교 도서관,광주,광산구,722281,2,713,21116,443237396 
2021,LIBTYPE000003,224015,호남신학대학교 도서관,광주,남구,210939,1,323,4859,60909242 
2021,LIBTYPE000003,247001,호산대학교 도서관,경북,경산시,85681,2,66,1083,31310009 
2021,LIBTYPE000003,244019,호서대학교 중앙도서관,충남,아산시,1129954,4,2333,24526,731656021 
2021,LIBTYPE000003,245013,호원대학교 도서관,전북,군산시,491624,3,232,7509,293651122 
2021,LIBTYPE000003,244026,홍익대학교 문정 도서관,세종,조치원읍,631929,3,1210,8868,928108214 
2021,LIBTYPE000003,211064,홍익대학교 중앙도서관,서울,마포구,1327200,8,13496,144263,1950404239 
2021,LIBTYPE000003,L00005,화신사이버대학교 자료실,부산,연제구,20619,0,223,917,9565000 
2021,LIBTYPE000003,211075,횃불트리니티신학대학원대학교 도서관,서울,서초구,79585,1,225,3936,111648364 
